01/04/2025 14:10:21 - 0176:	 - train_loss: 0.288861:	 - test_loss: 0.259998:	 mIoU 0.7560
01/04/2025 14:10:40 - 0177:	 - train_loss: 0.295472:	 - test_loss: 0.217737:	 mIoU 0.7994
01/04/2025 14:11:00 - 0178:	 - train_loss: 0.290354:	 - test_loss: 0.221658:	 mIoU 0.7969
01/04/2025 14:11:19 - 0179:	 - train_loss: 0.280801:	 - test_loss: 0.263688:	 mIoU 0.7550
01/04/2025 14:11:39 - 0180:	 - train_loss: 0.297354:	 - test_loss: 0.219273:	 mIoU 0.7948
01/04/2025 14:11:59 - 0181:	 - train_loss: 0.307292:	 - test_loss: 0.239817:	 mIoU 0.7713
01/04/2025 14:12:18 - 0182:	 - train_loss: 0.283455:	 - test_loss: 0.230175:	 mIoU 0.7806
01/04/2025 14:12:38 - 0183:	 - train_loss: 0.282225:	 - test_loss: 0.221494:	 mIoU 0.7923
01/04/2025 14:12:58 - 0184:	 - train_loss: 0.296881:	 - test_loss: 0.217076:	 mIoU 0.7984
01/04/2025 14:13:17 - 0185:	 - train_loss: 0.296567:	 - test_loss: 0.221405:	 mIoU 0.7985
01/04/2025 14:13:36 - 0186:	 - train_loss: 0.298120:	 - test_loss: 0.214827:	 mIoU 0.8050
01/04/2025 14:13:56 - 0187:	 - train_loss: 0.298984:	 - test_loss: 0.218700:	 mIoU 0.7997
01/04/2025 14:14:15 - 0188:	 - train_loss: 0.291023:	 - test_loss: 0.230955:	 mIoU 0.7851
01/04/2025 14:14:35 - 0189:	 - train_loss: 0.276321:	 - test_loss: 0.214480:	 mIoU 0.8037
01/04/2025 14:14:55 - 0190:	 - train_loss: 0.282137:	 - test_loss: 0.209750:	 mIoU 0.8102
01/04/2025 14:15:14 - 0191:	 - train_loss: 0.285249:	 - test_loss: 0.209456:	 mIoU 0.8080
01/04/2025 14:15:34 - 0192:	 - train_loss: 0.296972:	 - test_loss: 0.213820:	 mIoU 0.8062
01/04/2025 14:15:53 - 0193:	 - train_loss: 0.285029:	 - test_loss: 0.231009:	 mIoU 0.7846
01/04/2025 14:16:13 - 0194:	 - train_loss: 0.287206:	 - test_loss: 0.213051:	 mIoU 0.8057
01/04/2025 14:16:32 - 0195:	 - train_loss: 0.282351:	 - test_loss: 0.221634:	 mIoU 0.8005
01/04/2025 14:16:52 - 0196:	 - train_loss: 0.282649:	 - test_loss: 0.230380:	 mIoU 0.7942
01/04/2025 14:17:12 - 0197:	 - train_loss: 0.284877:	 - test_loss: 0.226874:	 mIoU 0.7934
01/04/2025 14:17:31 - 0198:	 - train_loss: 0.278298:	 - test_loss: 0.251638:	 mIoU 0.7671
01/04/2025 14:17:51 - 0199:	 - train_loss: 0.279671:	 - test_loss: 0.224049:	 mIoU 0.7916
